"n","bias","mse","se"
100,-0.00994840134802336,0.0169479651837157,0.13012940793063
400,0.00630629001876838,0.00369755352037314,0.0606313866890036
900,0.00175808889387283,0.00150038435968663,0.0387919781782623
1600,-0.00138484373300969,0.000850138510433944,0.0291973138137532
